call: name=__cast_i128_to_i32, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u8, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u16, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u32, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_usize, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i32_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u8, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i32_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u16, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i32_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_usize, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i32_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i32, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u8_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u8_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_u16, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u8_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u16_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u32_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_u64_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_i128_to_i64, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__cast_usize_to_i128, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=true, is_stdlib_inline=false
call: name=__reflect_type_name, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__reflect_kind_str, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__reflect_layout_size, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__reflect_layout_alignment, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__reflect_type_name, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__reflect_format, is_extern_c=false, is_builtin=true, is_user=false, is_stdlib_extern=false, is_special=false, is_stdlib_inline=false
call: name=__stdout_write_raw, is_extern_c=true, is_builtin=false, is_user=false, is_stdlib_extern=true, is_special=false, is_stdlib_inline=true
